0;Jucá: Meirelles será o candidato do MDB, mas não receberá recursos.  #Eleições2018 #MDB  ;Jucá: Meirelles will be MDB candidate, but will not receive resources. # Elections2018 #MDB;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;    ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
1; O que o Sr tem a dizer sobre as atitudes recentes da segunda turma do  ?;What do you have to say about the recent attitude of the second class?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"Henrique Meirelles: ""Eleito, vou liberar o uso da maconha"" - ISTOÉ Independente ";"Henrique Meirelles: &quot;Elected, I will release the use of marijuana&quot; - ISTOÉ Independente";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"      Mídia descartando Meirelles
😛";Meirelles discarding media 😛;Neg,Neu,Pos,Compound;0.459;0.541;0.0;-0.1779
0;Em vídeo de campanha, Meirelles ataca Ciro, Bolsonaro, Marina e Alckmin       ;In campaign video, Meirelles attacks Ciro, Bolsonaro, Marina and Alckmin;Neg,Neu,Pos,Compound;0.244;0.756;0.0;-0.4404
0; Lulista, a favor da legalização das drogas. Tô fora. Vazei!;"Lulista, in favor of the legalization of drugs. I&#39;m out. Vazei!";Neg,Neu,Pos,Compound;0.0;0.77;0.23;0.4574
1;"Muito obrigado Tocantins pelo apoio e entusiasmo . 

Amanhã a agenda é em Brasília e na quinta em Belém.

Vamos em frente!

#ChamaOMeirelles ";"Many thanks Tocantins for their support and enthusiasm. Tomorrow the agenda is in Brasilia and the fifth in Belém. Let&#39;s go! #ChamaOMeirelles";Neg,Neu,Pos,Compound;0.0;0.684;0.316;0.8313
1;"Amanhã vou participar do diálogo com os pré-candidatos à presidência promovido pela Confederação Nacional da Indústria. 

Você vai poder acompanhar tudo ao vivo pelo perfil da  e em nossas redes sociais.

#ChamaOMeirelles ";Tomorrow I will participate in the dialogue with the pre-candidates for the presidency promoted by the National Confederation of Industry. You will be able to follow everything live by the profile of and on our social networks. #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;0.928;0.072;0.4215
1;   É a ginga do banqueiro brasileiro... Ritmo que contagia;It is the ginga of the Brazilian banker ... Rhythm that infects;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;   E quem tem os melhores? Precisamos acreditar em alguém;And who has the best? We need to believe in someone.;Neg,Neu,Pos,Compound;0.0;0.704;0.296;0.6369
1; unico voto deste perfil é no ;The only vote on this profile is on;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"""Tem uma diferença entre o falar e o fazer. Nós já fizemos"", diz Henrique Meirelles";"&quot;There&#39;s a difference between talking and doing. We&#39;ve already done it,&quot; says Henrique Meirelles";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; O seu maior problema é o seu partido, seus apoiadores, quem será sua bancada no congresso. Isso tb importa muito.;Your biggest problem is your party, your supporters, who will be your bench in the congress. This matters a lot.;Neg,Neu,Pos,Compound;0.111;0.615;0.275;0.4588
1;  Esse está acima da média, é covardia.;"This is above average, it&#39;s cowardice.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;      Não sai do 1% , kkkkk    é a velha política!!! Não tem mais espaço nos dias atuais !!! Da pra sentir pelo menos pena ...;Do not leave 1%, kkkkk is the old policy !!! No more space these days !!! You can feel at least ...;Neg,Neu,Pos,Compound;0.137;0.816;0.047;-0.4973
1;ja podem me chamar de henrique Meirelles;Can you call me Henri Meirelles?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"  Caralho , os caras fazem cada uma pra arrumar uns votinhos !!! Kkkkk 
O Meireles consegue ser tão tosco quanto o Alckmin.... kkkkk";Fuck, the guys do each one to fix some voices !!! Meklek Meireles can be as rough as Alckmin .... kkkkk;Neg,Neu,Pos,Compound;0.18;0.82;0.0;-0.6571
1; O Engenheiro é o profissional mais preparado para gerenciar.;The Engineer is the most prepared professional to manage.;Neg,Neu,Pos,Compound;0.0;0.785;0.215;0.2944
0;na hora de dormir aparece propaganda do henrique meirelles no instagram vou dormir puta;"at bedtime it appears propaganda of henrique meirelles in instagram I&#39;m going to sleep bitch";Neg,Neu,Pos,Compound;0.309;0.691;0.0;-0.7003
1;   repara na carinha de satisfação;look at the face of satisfaction;Neg,Neu,Pos,Compound;0.0;0.633;0.367;0.4404
1;   sem futuro nenhum;no future;Neg,Neu,Pos,Compound;0.688;0.312;0.0;-0.296
0;"Estagnado nas pesquisas de intenção de voto, Henrique Meirelles vai colar em Lula. Ele vai gravar vídeos destacando que  foi presidente do Banco Central nos dois mandatos do Lula (2003 a 2010).Meireilles diz que a vinculação com Lula é vista como um ""trunfo"".";"Stagnant in the polls, Henrique Meirelles will paste in Lula. He will record videos highlighting that he was president of the Central Bank in the two terms of Lula (2003 to 2010). Meireilles says that the link with Lula is seen as a &quot;trump card&quot;.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Sorriso espontâneo e bem acompanhado do honroso ex governador... ;Spontaneous smile and well accompanied by the honorable former governor ...;Neg,Neu,Pos,Compound;0.0;0.497;0.503;0.7964
0;Estão te sacaneando  ;"They&#39;re messing you up";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;   Temporada de caça ao pobre;Poor hunting season;Neg,Neu,Pos,Compound;0.608;0.392;0.0;-0.4767
1;      Oloko... td de uma vez? Que metralhadora....;Oloko ... td at once? What a machine gun ....;Neg,Neu,Pos,Compound;0.231;0.769;0.0;-0.34
1;  O PRESIDENCIÁVEL HENRIQUE MEIRELLES,APROVEITOU O FORRÓ E  DANÇOU LOGO.PORQUE SABE QUE DANÇARÁ NAS URNAS NO FUTURO..;THE PRESIDENTIAL HENRIQUE MEIRELLES, ENJOYED THE FORRO AND DANCED SOON.WHAT YOU KNOW THAT YOU WILL DANCE IN THE URNAS IN THE FUTURE ..;Neg,Neu,Pos,Compound;0.0;0.845;0.155;0.6166
1;  Hahaha um técnico altíssimo querendo ser popular. Me lembrou amigos nerds nas baladas. Estou com dó dele.;"Hahaha a very high tech wanting to be popular. It reminded me nerdy friends in the ballads. I&#39;m sorry about him.";Neg,Neu,Pos,Compound;0.093;0.556;0.352;0.8402
0;  Executou o triunvirato do marketeiro: comeu pastel na feira, beijou criança ranhenta, abraçou o povo nas ruas.;He performed the triumvirate of the marketer: he ate cake at the fair, kissed a rancid child, and hugged the people in the streets.;Neg,Neu,Pos,Compound;0.116;0.631;0.252;0.4767
0;  Um poço de simpatia...;A well of sympathy ...;Neg,Neu,Pos,Compound;0.0;0.303;0.697;0.5574
1;Tivemos um grande encontro em Campinas liderado pelo meu amigo Paulo Skaf. Estamos juntos! #ChamaOMeirelles ;We had a great meeting in Campinas led by my friend Paulo Skaf. We are together! #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;0.648;0.352;0.8221
1;      o sem noção!;the clueless!;Neg,Neu,Pos,Compound;0.736;0.264;0.0;-0.4199
1;  Engenheiros e adms são gente boa demais  , chato é o Meireles ....minha nossa !!!!;Engineers and adms are people too good, boring is the Meireles .... my God !!!!;Neg,Neu,Pos,Compound;0.112;0.586;0.301;0.5951
0; Deus nos livre do senhor;God forbid us from you;Neg,Neu,Pos,Compound;0.311;0.405;0.284;-0.0516
0;"Enquanto isso na propaganda do pré-candidato  a inspiradora história do BOZO começa a surgir🤣🤣🤣🤣 #Politica #Copa2018 E tem ""inteligente"" que acredita em ""políticos"" ";"Meanwhile in the pre-candidate&#39;s propaganda the BOZO&#39;s inspiring story begins to emerge #Politics # Copa2018 And has &quot;smart&quot; who believes in &quot;politicians&quot;";Neg,Neu,Pos,Compound;0.084;0.798;0.118;0.2023
0;      E por que ele não ataca o seu patrão Temer?;And why does not he attack his boss Temer?;Neg,Neu,Pos,Compound;0.0;0.758;0.242;0.3724
0;"O senhor   está remexendo as cadeiras  (no NE se diz ""os quartos"") ";"You&#39;re fidgeting the chairs (in the NE it says &quot;the rooms&quot;)";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;  😂😂😂😂 Vai com calma com os engenheiros, e chatos!;😂😂😂😂 Take it easy with the engineers, and boring!;Neg,Neu,Pos,Compound;0.184;0.56;0.256;0.2244
1;      Ataca o populismo, melhor dizendo! Parabéns Ministro  ! #ChamaOMeirelles;It attacks populism, in other words! Congratulations, Minister! #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.202;0.487;0.312;0.3786
1;Meirelles tenta descontrair e dança forró no Piauí.  #Eleições2018  ;Meirelles tries to relax and dance forró in Piauí. # Elections2018;Neg,Neu,Pos,Compound;0.0;0.756;0.244;0.4404
1; Eh engenheiro , Adm e chato demais !!!!!! Agora entrou numas de descer a lenha nos outros candidatos invés de mostrar seu plano .....não elege pra síndico !!;Hey engineer, Adm and boring too !!!!!! Now he went into the woods to get down to the other candidates instead of showing his plan ..... do not elect to the trustee !!;Neg,Neu,Pos,Compound;0.095;0.85;0.055;-0.3544
1;  Qto a moça ganhou ?;What did the girl win?;Neg,Neu,Pos,Compound;0.0;0.513;0.487;0.5859
0; Eu afirmo que os brasileiros NÃO cogitam  e  como presidente do Brasil!;I affirm that Brazilians DO NOT think and as president of Brazil!;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;  Mostrar os problemas é fácil. Agora, mostrar propostas e projetos é mais difícil.;Showing the problems is easy. Now showing proposals and projects is more difficult.;Neg,Neu,Pos,Compound;0.299;0.544;0.158;-0.3804
1;"  Atah
Comeu pastel também?";Did you eat cake too?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;O  está bancando a sua própria campanha, com o seu próprio $$$. Está correndo atrás do seu sonho usando o seu próprio bolso! Coisa inédita no Brasil! Com o  não tem surpresa ruim! Bora, #chamaOMeirelles ;O is banking his own campaign, with his own $$$. You are chasing after your dream with your own pocket! Unprecedented thing in Brazil! With the no surprise bad! Bora, #chamaOMeirelles;Neg,Neu,Pos,Compound;0.179;0.709;0.112;-0.5386
1;   ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
1;  #ChamaOMeirelles 😂😂😂😂😂;#ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; O  está bancando a sua própria campanha, com o seu próprio $$$. Está correndo atrás do seu sonho usando o seu próprio bolso! Coisa inédita no Brasil! Com o  não tem surpresa ruim! Bora, #chamaOMeirelles;O is banking his own campaign, with his own $$$. You are chasing after your dream with your own pocket! Unprecedented thing in Brazil! With the no surprise bad! Bora, #chamaOMeirelles;Neg,Neu,Pos,Compound;0.179;0.709;0.112;-0.5386
1;  😂😂😂;(I.e.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Carta de jámorreu da preula! Kkk;Letter from the prelude! Lol;Neg,Neu,Pos,Compound;0.0;0.564;0.436;0.4753
1;"""A CNI já apresentou essa agenda para a assessoria dos candidatos, teremos a oportunidade de discuti-la e ouviremos as propostas de todos. Participarão , , , ,  e "", José Augusto Fernandes. #ENAI2018";"&quot;The CNI has already presented this agenda for the advisory services of the candidates, we will have the opportunity to discuss it and we will listen to the proposals of all. They will participate,,, and&quot;, José Augusto Fernandes. # ENAI2018";Neg,Neu,Pos,Compound;0.0;0.931;0.069;0.4215
1;  A que devo a satisfação ? O Voto é secreto amigo. Eu só dei a minha opinião a respeito da política deste senhor.;"To what do I owe the satisfaction? Voto is a secret friend. I just gave my opinion about this man&#39;s policy.";Neg,Neu,Pos,Compound;0.0;0.724;0.276;0.7269
1;  Putz ;Putz;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;         ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
0;  vergonha esse  do    . #EunicioSafado     é pior que câncer pro país.;Shame on you. #EunicioSafado is worse than cancer for the country.;Neg,Neu,Pos,Compound;0.57;0.43;0.0;-0.891
1;#ChamaOMeirelles  Vamos com Meirelles! O Brasil do Tamanho dos nossos sonhos! ;"#ChamaOMeirelles Let&#39;s go with Meirelles! Brazil the Size of Our Dreams!";Neg,Neu,Pos,Compound;0.0;0.753;0.247;0.508
1;Gostei de um vídeo   2018 - Jovem Pan sabatina Henrique Meirelles;I liked a video 2018 - Jovem Pan Sabatina Henrique Meirelles;Neg,Neu,Pos,Compound;0.0;0.714;0.286;0.4215
1; Precisa de um partido melhor, pelo MDB vai ficar amarrado com as mesmas múmias de sempre;Need a better party, by MDB will be tied with the same mummies as ever;Neg,Neu,Pos,Compound;0.0;0.682;0.318;0.6808
1;  Eu poderia votar nele, mas... Eu não confio em esquerdopata!;I could vote for him, but ... I do not trust leftists!;Neg,Neu,Pos,Compound;0.299;0.701;0.0;-0.592
1; Vai ganhar!;Will win!;Neg,Neu,Pos,Compound;0.0;0.196;0.804;0.6239
0; Chama o Doria,  Meirelles. Ou vai ou racha 💥💥💥;Call the Doria, Meirelles. Either go or split;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Quando vem pra Minas?  Minas  #ChamaOMeirelles;When are you coming to Minas? Mines #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;Se quer continuar que continue com o seu dinheiro  ;If you want to continue to continue with your money;Neg,Neu,Pos,Compound;0.0;0.874;0.126;0.0772
1;  Parabéns Tocantins;Congratulations Tocantins;Neg,Neu,Pos,Compound;0.0;0.204;0.796;0.5994
0; Vem Meirelles. ! Chamando o Meirelles.;Come Meirelles. ! Calling Meirelles.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;O pré-candidato à Presidência da República pelo PSDB, Geraldo Alckmin, descartou a possibilidade de uma aliança com o MDB para que o ex-ministro da Fazenda Henrique Meirelles dispute a eleição como candidato a vice na chapa do tucano.;"PSDB pre-candidate Geraldo Alckmin dismissed the possibility of an alliance with the MDB so that former Finance Minister Henrique Meirelles will contest the election as a candidate for vice on the Toucan&#39;s plate.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;O tal do Henrique Meirelles deve estar pensando que estacionou a Ferrari dele no sol, candidato do partido do beque de encruzilhada, dando traço no ibope, só não fico com pena pois ele é um boçal;The guy from Henrique Meirelles must be thinking that he parked his Ferrari in the sun, the candidate of the party of the crossroads, giving traces in the ibope, I just do not feel sorry for he is a boçal;Neg,Neu,Pos,Compound;0.0;0.847;0.153;0.6511
0;  A esquerda delirante abriu o sarcófago.;The delirious left opened the sarcophagus.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Concordo. E o sr tem o pt e a jbs no seu cv.;I agree. And you have pt and jbs in your cv.;Neg,Neu,Pos,Compound;0.0;0.783;0.217;0.3612
1;  Tá comprada em que na bolsa rs;"It&#39;s bought in that bag rs";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;   Q;Q;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
0;Já são 13,1 milhões de desempregados no Brasil, o que equivale a 12,6%. Ainda estou aguardando o crescimento dos empregos com a nova Reforma Trabalhista, conforme anunciou com firmeza o sr. Ministro da Fazenda Henrique Meirelles.;There are already 13.1 million unemployed in Brazil, which is equivalent to 12.6%. I am still waiting for the growth of jobs with the new Labor Reform, as firmly announced by Mr. Minister of Finance Henrique Meirelles.;Neg,Neu,Pos,Compound;0.0;0.931;0.069;0.3818
1;Cheguei numa fase da vida onde um objetivo me move: servir ao meu país. Não sou candidato profissional e o que me interessa é fazer o que for preciso para que o Brasil deixe de ser eternamente país do futuro. Quero um presente de dignidade, um Brasil do tamanho dos nossos sonhos. ;I arrived at a stage of life where one goal moves me: to serve my country. I am not a professional candidate and what interests me is to do whatever it takes to make Brazil cease to be forever the country of the future. I want a gift of dignity, a Brazil the size of our dreams.;Neg,Neu,Pos,Compound;0.0;0.795;0.205;0.8625
1;  vai e não vai ter fiscal de cu também...;will and will not have fiscal decu also ...;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Vo votar em vc hein, tá muito sincerão! Derruba três num vídeo #ChamaOMeirelles #meirellesPresidente #BolsaStandUP ;You vote in vc huin, very sincere! Tip three in a video #ChamaOMeirelles #meirellesPresidente #BolsaStandUP;Neg,Neu,Pos,Compound;0.0;0.798;0.202;0.5081
0;" Meirelles tá afiado , vem aí a surpresa da eleição, o Meirelles ""Sincerão""  -  Trago verdades #MeirellesSincerão #chamaOMeirelles ";"Meirelles is sharp, comes the surprise of the election, the Meirelles &quot;Sincerão&quot; - I bring truths # MeirellesSincerão #chamaOMeirelles";Neg,Neu,Pos,Compound;0.0;0.741;0.259;0.5994
0;" Meirelles tá afiado , vem aí a surpresa da eleição, o Meirelles ""Sincerão""  -  Trago verdades #MeirellesSincerão #chamaOMeirelles ";"Meirelles is sharp, comes the surprise of the election, the Meirelles &quot;Sincerão&quot; - I bring truths # MeirellesSincerão #chamaOMeirelles";Neg,Neu,Pos,Compound;0.0;0.741;0.259;0.5994
1;  Posso saber em quem vota votará?;Can I know who votes vote?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;Jucá: Meirelles será o candidato do MDB, mas não receberá recursos.  #Eleições2018 #MDB  ;Jucá: Meirelles will be MDB candidate, but will not receive resources. # Elections2018 #MDB;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;" Quem devia ser vice do Meirelles era o Alckmin, pelo visto o Meirelles não tem medo de falar a verdade:  &gt;&gt;&gt; #MeirellesSincerão #chamaOMeirelles ";"Who should be Meirelles&#39;s deputy was Alckmin, apparently Meirelles is not afraid to speak the truth: &gt;&gt;&gt; # MeirellesSincerão #chamaOMeirelles";Neg,Neu,Pos,Compound;0.0;0.887;0.113;0.3182
1; E o Sr. é do  ? É o mesmo de Temer, Renan Calheiros, Romero Jucá, Jader Barbalho... Só gente fina, idônea hein?!! Partidaço...;"And you&#39;re from? It&#39;s the same as Temer, Renan Calheiros, Romero Jucá, Jader Barbalho ... Only fine people, idiotic huh? !! Breaking ...";Neg,Neu,Pos,Compound;0.166;0.768;0.066;-0.5781
1;"Ficou foooooooda!

#ChamaOMeirelles ";It was foooooooda! #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Topzera;Topzera;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Em 2018 não podemos brincar de eleições. O voto será decisivo para o Brasil se tornar uma potência ou para voltar a ser o país de da miséria e do desgaste. O povo acordou e agora é #Meirelles2018 #ChamaOMeirelles;"In 2018 we can not play elections. The vote will be decisive for Brazil to become a power or to return to be the country of misery and wear and tear. The people woke up and now it&#39;s # Meirelles2018 #ChamaOMeirelles";Neg,Neu,Pos,Compound;0.131;0.825;0.044;-0.5908
1;    Não escolhi ainda, vamos ver o que tiver mais fundamento. Quem diminuir o tamanho do Estado e fazer todas reformas necessárias, privatizar, fizer reengenharia geral em todo sistema público, fundamento básico meritocracia, não ser refém do Estado instalado que é quem  da as regras;"I have not chosen yet, let&#39;s see what has more foundation. Whoever reduces the size of the state and makes all necessary reforms, privatizing, reengineering generally in every public system, basic meritocracy, not being held hostage by the state that is the one who gives the rules";Neg,Neu,Pos,Compound;0.0;0.966;0.034;0.1531
0;  grande coisa ... visite um hospital do SUS e veja a miseria dos eleitores.;great thing ... visit a SUS hospital and see the misery of the voters.;Neg,Neu,Pos,Compound;0.197;0.585;0.218;0.1027
1; melhores candidatos:  Meirelles, Amoedo, Flavio Rocha .  Fujam: Ciro Gomes, Bolsonaro, Marina Bissexta, Alckmin;best candidates: Meirelles, Amoedo, Flavio Rocha. Fujam: Ciro Gomes, Bolsonaro, Marina Bissexta, Alckmin;Neg,Neu,Pos,Compound;0.0;0.741;0.259;0.6369
1;   Só considero nordestino da gema quando montar no jegue.;I only consider Northeastern of the gem when riding on the jegue.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Trago Verdades!  kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk  Bem bolado, bem bolado...;I bring Truths! kkkkkkkkkkkkkkkkkkkkkkkkk Well done, well done ...;Neg,Neu,Pos,Compound;0.0;0.407;0.593;0.7424
0; Já perdeu meu voto, político ao invés de falar bem de sim falando mal do concorrente já perde confiança;Already lost my vote, political instead of speaking well of yes speaking badly of the competitor already loses confidence;Neg,Neu,Pos,Compound;0.267;0.451;0.281;0.1027
0;Quem precisar receber por algum serviço, #ChamaOMeirelles ;Who needs to receive for some service, #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;  Nem votos.....;Not even votes .....;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Fez parte do Governo Lula, do Temer. Agora quer atacar os outros candidatos. Já começou a campanha com esse vídeo no nível vulgar, prefere atacar os outros a falar de seus projetos. Falar dos defeitos dos outros é a melhor forma de esconder os seus!;"He was part of the Lula Government, of Temer. Now he wants to attack the other candidates. Already started the campaign with this video at the vulgar level, prefer to attack others to talk about their projects. Talking about others&#39; faults is the best way to hide yours!";Neg,Neu,Pos,Compound;0.193;0.735;0.072;-0.7263
1; Marina apareceu mais nesse clipe do que nos 4 últimos anos.;Marina has appeared more in this clip than in the past 4 years.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Já começou atacando os outros? Não vejo diferença nenhuma no senhor em relação aos outros, exceto Bolsonaro que é honesto!;Have you started attacking others? I see no difference in you from others, except Bolsonaro who is honest!;Neg,Neu,Pos,Compound;0.241;0.614;0.145;-0.2942
1;"  Prefiro o 
#VamosRenovarTudo 
#AmoedoPresidente
";I prefer the #VamosRenovarTudo #AmoedoPresidente;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;Aí  veja em que poste foste amarrar seu burro! Pensou mesmo que o PMDB (dono do maior quinhão do fundo eleitoral) ia jogar $$$ em uma candidatura presidencial sem chances? Sabe de nada inocente! ;Look at what post you went to tie your donkey! Did you even think that the PMDB (owner of the largest portion of the electoral fund) was going to throw $$$ in a presidential candidacy with no chances? You know nothing innocent!;Neg,Neu,Pos,Compound;0.108;0.852;0.04;-0.4624
1;Tem o meu respeito por tudo que já fez pelo Brasil. #ChamaOMeirelles #Brasil ;"You have my respect for everything you&#39;ve done in Brazil. #ChamaOMeirelles #Brazil";Neg,Neu,Pos,Compound;0.0;0.78;0.22;0.4767
0;Pau no Ciro, Alckmin, Bolsonaro e Marina Silva.  Meirelles presidente da porra toda. 🤣🤣🤣🤣🤣🤣🤣🤣  Onde menos esperava, veio a chicotada. ;Pau no Ciro, Alckmin, Bolsonaro and Marina Silva. Meirelles the whole fucking president. 🤣🤣🤣🤣🤣🤣🤣🤣 Where he least expected, he came to the whip.;Neg,Neu,Pos,Compound;0.091;0.909;0.0;-0.296
0;     Moça, eu não sou Testemunha de Meirelles. Fique a vontade de ir ao perfil dele. E lá eu discuto Meirelles, aqui eu discuto Bolsonaro;"Ma&#39;am, I&#39;m not Witness to Meirelles. Feel free to go to his profile. And there I discuss Meirelles, here I discuss Bolsonaro";Neg,Neu,Pos,Compound;0.0;0.852;0.148;0.5106
0;     Eu nunca ouvi falar no Meirelles, eu não posso mudar de opinião? Estou realmente inclinada ao Bolsonaro, mais tbm não sou cega se existir uma opção melhor eu vou querer saber.;"I&#39;ve never heard of Meirelles, I can not change my mind? I&#39;m really inclined to Bolsonaro, but I&#39;m also not blind if there is a better option I&#39;ll want to know.";Neg,Neu,Pos,Compound;0.0;0.761;0.239;0.8013
1;     Vc não me ofendeu. Desculpe discordar, uma rápida passada na sua conta e a gente percebe que a sua inclinação é quase vertical. E não sou inocente, a sua resposta é um tipo de falácia. Vc não possui, pelo menos não agora, interesse no candidato, só estava preparando uma resposta;"You did not offend me. Sorry to disagree, a quick pass on your account and we realize that your inclination is almost vertical. And I&#39;m not innocent, your answer is a kind of fallacy. You do not have, at least not now, interest in the candidate, you were just preparing a response";Neg,Neu,Pos,Compound;0.131;0.811;0.057;-0.6131
1; Esse lixo que dizia que a mulher servia apenas pra dormir com ele tá na nossa lista! ;This garbage that said that the woman was only sleeping with him is on our list!;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;O único defeito do  é que ele não pode ser Presidente e Ministro da Fazenda ao mesmo tempo.;The only shortcoming is that he can not be President and Minister of Finance at the same time.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;  deveria desistir deste sonho, pois não passa disso!!!;"I should give up on this dream, because that&#39;s all!";Neg,Neu,Pos,Compound;0.0;0.759;0.241;0.3699
1; pathetic;pathetic;Neg,Neu,Pos,Compound;1.0;0.0;0.0;-0.5719
1;  troca de partido? ou vai copia o  ?;party exchange or will it copy?;Neg,Neu,Pos,Compound;0.0;0.649;0.351;0.4019
1;     Ue...  Eu não tenho meu voto 100% Bolsonaro, se tem mais uma pessoa a qual Vc apoia, eu não posso querer saber mais ? A pergunta te ofendeu ? 🤔🤷;Ue ... I do not have my vote 100% Bolsonaro, if there is one other person that you support, I can not want to know more? Did the question offend you? (I.e.;Neg,Neu,Pos,Compound;0.113;0.806;0.081;0.1625
