1;Media cala de Ambolo de Xàbia es ahora de arena dorada  vía ;Ambolo half of Xàbia cove is now of golden sand via;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;"Hoje, às 10h00, Marina Silva participa do evento com empresários do Brasil todo, promovido pela Confederação Nacional da Indústria - CNI.

Vamos comentar sobre a fala da Marina com a tag #MarinaNaCNI. Participem! ";"Today, at 10:00 am, Marina Silva participates in the event with businessmen from all over Brazil, promoted by the National Confederation of Industry - CNI. Let&#39;s comment on Marina&#39;s talk with the tag #MarinaNaCNI. Participate!";Neg,Neu,Pos,Compound;0.0;0.914;0.086;0.4753
1;      Não mentiu .;He did not lie.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;      Quando você tá gravando comercial pra falar que salvou a economia, mas lembra q o país segue estagnado ;"When you&#39;re recording a commercial to say that you saved the economy, but you remember that the country is still stagnant.";Neg,Neu,Pos,Compound;0.0;0.909;0.091;0.2263
0;Em vídeo de campanha, Meirelles ataca Ciro, Bolsonaro, Marina e Alckmin       ;In campaign video, Meirelles attacks Ciro, Bolsonaro, Marina and Alckmin;Neg,Neu,Pos,Compound;0.244;0.756;0.0;-0.4404
0;      Você negaria voto para este homem? Quanto carisma cabe numa foto só? ;Would you deny this man a vow? How much charisma does it fit into one photo?;Neg,Neu,Pos,Compound;0.131;0.712;0.157;0.1179
0;" esses dias eu tive uma puta discussão com um cara que vota no Bolsonaro que respondeu um tweet meu em que eu perguntava ""vcs estão preparados pra votar na marina silva?"", eu falei pra ele que eu não tava falando com ele e ele veio com ""tweetou ta sujeito a resposta"" ai eu tipo";"these days I had a fucking argument with a guy who votes in the Bolsonaro who answered a tweet of mine in which I asked &quot;are you ready to vote for marina silva?&quot;, I told him that I was not talking to him and he came with &quot;tweetou is subject to the answer&quot; there I am like";Neg,Neu,Pos,Compound;0.052;0.855;0.093;0.2975
0;"Bolsonaro atinge sua máxima histórica, Marina Silva desidrata e Ciro Gomes assume o 2º lugar, mostra pesquisa - InfoMoney
Veja mais em: ";Bolsonaro reaches historic high, Marina Silva dehydrates and Ciro Gomes takes 2nd place, research shows - InfoMoney See more in:;Neg,Neu,Pos,Compound;0.0;0.938;0.062;0.0516
1;"      Mídia descartando Meirelles
😛";Meirelles discarding media 😛;Neg,Neu,Pos,Compound;0.459;0.541;0.0;-0.1779
0;Em vídeo de campanha, Meirelles ataca Ciro, Bolsonaro, Marina e Alckmin       ;In campaign video, Meirelles attacks Ciro, Bolsonaro, Marina and Alckmin;Neg,Neu,Pos,Compound;0.244;0.756;0.0;-0.4404
0;"MARINA SILVA PROTEGEU SEU MARIDO DA ACUSAÇÃO DE RECEBIMENTO DE MADEIRA ILEGAL?
FAKE NEWS!
Marina foi Ministra do Meio Ambiente até 2008, e seu marido foi falsamente acusado em 2011 e em 2013 provou que n recebeu ou desviou qualquer tipo de madeira.
Espalhe a verdade! ";MARINA SILVA PROTECTED HIS HUSBAND FROM THE ACKNOWLEDGE OF ILLEGAL WOOD RECEIPT? FAKE NEWS! Marina was Minister of the Environment until 2008, and her husband was falsely accused in 2011 and in 2013 proved that he did not receive or diverted any type of wood. Spread the truth!;Neg,Neu,Pos,Compound;0.183;0.718;0.099;-0.7199
1;                         Hehehe;Hehehe;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;" Marina Silva, Lobão, DD...😂😂😂
(Dá vontade de printar e fazer umas camisetas...)";Marina Silva, Lobão, DD ... 😂😂😂 (It makes you want to start making t-shirts ...);Neg,Neu,Pos,Compound;0.0;0.915;0.085;0.0772
1; #RAIHMIMPI 2018! Siap jadi Bintang Marina 2018 dan ikutan Beauty Camp di Jogja! Untuk yang di Bandung Ikuti Marina #RaihMimpi Roadshow Bandung tgl 6 Juli 2018 di Tjendana Bistro bersama  dan  Saatnya Bersinar dan Raih Mimpi! ;#RAIHMIMPI 2018! Siap jadi Bintang Marina 2018 dan ikutan Beauty Camp di Jogja! Untuk yang di Bandung Ikuti Marina #RaihMimpi Roadshow Bandung tgl 6 Juli 2018 di Tjendana Bistro bersama dan Saatnya Bersinar dan Raih Mimpi!;Neg,Neu,Pos,Compound;0.0;0.879;0.121;0.6884
1;Third-time presidential candidate Marina Silva seeks a third way in #Brazil  ;Third-time presidential candidate Marina Silva seeks a third way in #Brazil;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;  Lembrei de uma coisa,nos não vamos votar em Marina Silva,porem essas urnas eletrônicas é um perigo,países avançados em tecnologia fogem dessas urnas eletrônicas e aqui no Brasil o brasileiro aceita,alias brasileiro aceita tudo,gasolina cara,politico ladrão,aqui até ETs se elegem.;I remembered one thing, we are not going to vote for Marina Silva, but these electronic ballots are a danger, advanced countries in technology flee these electronic ballots and here in Brazil the Brazilian accepts, alias Brazilian accepts everything, expensive gasoline, political thief, here until ETs are elected.;Neg,Neu,Pos,Compound;0.157;0.7;0.143;-0.4215
0;  Quem que vai votar na Marina Silva,ela não passa uma imagem de liderança e nem de capacitada a ser Presidente ao povo,passa mais a imagem de uma Marina vai com as outras.;Whoever is going to vote for Marina Silva, she does not pass an image of leadership and nor of being able to be president to the people, it passes more the image of a Marina goes with the others.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; #Marina2018;# Marina2018;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;  Essa gente não gosta do Brasil. Gostam de Cuba, Venezuela, Nicarágua e tudo que é porcaria comunista/socialista. Nunca, JAMAIS, votaria nessa  vermelha - e lulista!;These people do not like Brazil. They like Cuba, Venezuela, Nicaragua and everything that is communist / socialist crap. Never, EVER, would vote for this red - and lulist!;Neg,Neu,Pos,Compound;0.229;0.771;0.0;-0.7279
0;Nesta quarta, às 10 da manhã, Marina Silva participa da sabatina com presidenciáveis da CNI - Confederação Nacional da Indústria. #SomosMarina #marina2018 ;This Wednesday, at 10 am, Marina Silva participates in the Saturday with presidents of CNI - National Confederation of Industry. #SomosMarina # marina2018;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;      Não sai do 1% , kkkkk    é a velha política!!! Não tem mais espaço nos dias atuais !!! Da pra sentir pelo menos pena ...;Do not leave 1%, kkkkk is the old policy !!! No more space these days !!! You can feel at least ...;Neg,Neu,Pos,Compound;0.137;0.816;0.047;-0.4973
0;Pra quem achou que o mito  tava correndo.... sinto muito por vcs...         ;"For those who thought that the myth was running .... I&#39;m sorry for you ...";Neg,Neu,Pos,Compound;0.085;0.915;0.0;-0.0772
1;  ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
0;  amigo o presidente do flamengo esta considerando sair vice da Marina Silva, que esteve do lado, da quadrilha que assaltou esse pais, por 20 anos, vc acha que o VP seria algo diferente;friend the president of flamengo is considering leaving Marina Silva, who was on the side of the gang that assaulted that country, for 20 years, you think the VP would be something different;Neg,Neu,Pos,Compound;0.09;0.824;0.085;-0.0516
0;  Roberto Jefferson, Jean Wyllys, Luciana Genro, Marina Silva, Marcelo Bretas, Monique Cheker, Leilane Neubart, Miriam Leitão são alguns dos que lembro. Sinto que a maioria da turma bloqueia porque não gosta de ter sua opinião contrariada. Gostam só de claque ou então block 👿;Roberto Jefferson, Jean Wyllys, Luciana Genro, Marina Silva, Marcelo Bretas, Monique Cheker, Leilane Neubart and Miriam Leitão are some of the ones I remember. I feel like most of the class blocks because they do not like to have their opinions upset. They only like cheerleading or block;Neg,Neu,Pos,Compound;0.132;0.695;0.173;0.3182
0;"Los comerciantes de Dénia advierten de pérdidas de hasta el 35 % por las obras
";Traders in Denia warn of losses of up to 35% for works;Neg,Neu,Pos,Compound;0.291;0.709;0.0;-0.4767
0;"Inauguran una pérgola que ayuda a romper la rutina del hospital en la Pedrera
";They inaugurate a pergola that helps to break the routine of the hospital in La Pedrera;Neg,Neu,Pos,Compound;0.0;0.843;0.157;0.3818
1;"Media cala de Ambolo de Xàbia es ahora de arena dorada
";Half of Ambolo de Xàbia cove is now of golden sand;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;      Oloko... td de uma vez? Que metralhadora....;Oloko ... td at once? What a machine gun ....;Neg,Neu,Pos,Compound;0.231;0.769;0.0;-0.34
1; Vamos votar na Marina Silva?;"Let&#39;s vote for Marina Silva?";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; O que tem que explicar para a Marina Silva...o estado é necessário fora da vida o máximo possível da vida do cidadão que produz e movimento esse país... ESTADO E GOVERNO não produz nada além de taxas para sustentar suas oligarquias do poder sobre o cidadões.;What has to explain to Marina Silva ... the state is necessary out of life as much as possible of the life of the citizen who produces and moves that country ... STATE AND GOVERNMENT produces nothing but fees to support their oligarchies of power about the citizens.;Neg,Neu,Pos,Compound;0.0;0.93;0.07;0.5499
1;      o sem noção!;the clueless!;Neg,Neu,Pos,Compound;0.736;0.264;0.0;-0.4199
0;      E por que ele não ataca o seu patrão Temer?;And why does not he attack his boss Temer?;Neg,Neu,Pos,Compound;0.0;0.758;0.242;0.3724
0;"  , a ""comunista"", n se aliou a mensaleiro pra ter Tv e tem 8 segundos... Continue assim, Marina!! N venda sua alma como TODOS os outros fazem pra se dizerem contra isso tudo! ";", the &quot;communist&quot;, not allied to the monthly to have TV and has 8 seconds ... Keep it up, Marina !! Do not sell your soul like EVERYONE does to say it against everything!";Neg,Neu,Pos,Compound;0.0;0.902;0.098;0.5229
1;Marina Silva -Drogas e Aborto:  via ;Marina Silva -Drug and Abortion: via;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;      Ataca o populismo, melhor dizendo! Parabéns Ministro  ! #ChamaOMeirelles;It attacks populism, in other words! Congratulations, Minister! #ChamaOMeirelles;Neg,Neu,Pos,Compound;0.202;0.487;0.312;0.3786
0; Marina Silva não tem coragem de dizer que foi o governo Lula, o chefe da quadrilha, que deu dinheiro do BNDES, não só para Eike, como outros amigos corruptos, escolhidos a dedo, como os irmãos Batista.;Marina Silva does not have the courage to say that it was the Lula government, the gang leader, who gave money from the BNDES, not just to Eike, but other corrupt, handpicked friends like the Batista brothers.;Neg,Neu,Pos,Compound;0.042;0.787;0.171;0.764
0;  não tem coragem de dizer que foi o governo Lula, o chefe da quadrilha que deu dinheiro do BNDES, não só para Eike, como outros amigos corruptos, escolhidos a dedo com os irmãos Batista;does not have the courage to say that it was the Lula government, the gang leader who gave BNDES money not only to Eike, but also to other corrupt friends, hand-picked with the Batista brothers;Neg,Neu,Pos,Compound;0.047;0.847;0.107;0.5165
1;É um enorme retrocesso a aprovação do parecer sobre o projeto de lei na comissão especial da Câmara, que flexibiliza o uso e o comércio dos agrotóxicos no Brasil -   #PLdoVeneno #ChegaDeAgrotóxicos ;It is a huge setback to approve the opinion on the bill in the special committee of the Chamber, which makes the use and trade of agrochemicals more flexible in Brazil - #PLdoVeneno # ChegaDeAgrotóxicos;Neg,Neu,Pos,Compound;0.0;0.801;0.199;0.7346
1;"""A CNI já apresentou essa agenda para a assessoria dos candidatos, teremos a oportunidade de discuti-la e ouviremos as propostas de todos. Participarão , , , ,  e "", José Augusto Fernandes. #ENAI2018";"&quot;The CNI has already presented this agenda for the advisory services of the candidates, we will have the opportunity to discuss it and we will listen to the proposals of all. They will participate,,, and&quot;, José Augusto Fernandes. # ENAI2018";Neg,Neu,Pos,Compound;0.0;0.931;0.069;0.4215
1;         ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
0; há alguma possibilidade de estar errado esse levantamento? Ganhar ganhando não inclui coisas assim... Sou seu eleitor e isso se afasta da sua história e forma de fazer política. ;is there any possibility that this survey is wrong? Winning by winning does not include things like that ... I am your voter and this is far from your history and way of doing politics.;Neg,Neu,Pos,Compound;0.124;0.714;0.162;0.3798
0;Marina Silva combina com seu marqueteiro Duda Mendonça o momento certo para sair da floresta. (Bosque da Esperança, 1943) ;Marina Silva combines with her marketer Duda Mendonça the right moment to leave the forest. (Forest of Hope, 1943);Neg,Neu,Pos,Compound;0.057;0.806;0.137;0.4019
0; Já mudou de opinião quantas vezes hoje?;Have you changed your mind about how many times today?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;  ;;Neg,Neu,Pos,Compound;0.0;0.0;0.0;0.0
1;O maravilhoso mundo de Marina Silva ;The wonderful world of Marina Silva;Neg,Neu,Pos,Compound;0.0;0.575;0.425;0.5719
0; O BNDES forneceu todo esse dinheiro para o Eike em qual governo? a culpa é do BNDES ou de quem mandava no BNDES? quem era o Presidente da República? quem era o presidente do BNDES? e o dinheiro do povo que foi pelo BNDES para Venezuela, Cuba, Angola? quem era o Presidente?;"The BNDES provided all this money to Eike in which government? Is it the fault of the BNDES or of those who sent the BNDES? Who was the President of the Republic? Who was the president of BNDES? and the people&#39;s money that went to the BNDES for Venezuela, Cuba, Angola? Who was the President?";Neg,Neu,Pos,Compound;0.063;0.937;0.0;-0.5661
0;Atentem para o número de seguidores de Marina Silva, com ou sem robôs. Alguma surpresa em gestação aí, à margem dos comentaristas que só veem omissão dela, inapetência, silêncio? Robôs são 64% dos seguidores de Alvaro Dias ;"Note the number of followers of Marina Silva, with or without robots. Any surprise in the gestation there, aside from the commentators who only see omission from it, inappetence, silence? Robots are 64% of Alvaro Dias&#39;s followers";Neg,Neu,Pos,Compound;0.048;0.918;0.034;-0.1316
0; E o dinheiro q o PT roubou e vc fazia parte do governo corrupto.;And the money that the PT stole and you were part of the corrupt government.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Bolsonaro vai enfim? Ou tá correndo de debate ainda?;Is Bolsonaro going anyway? Or are you still having a debate?;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;" Vai ela e seu amigo/apoiador, Aécio Neves ? Ou vai com seu fiel companheiro, Malafaia? 
Essa Marina é igual uma nota de 3 reais. Deus me livre. Credo.";Is she and your friend / supporter, Aécio Neves? Or go with your faithful companion, Malafaia? This Marina is equal a note of 3 reais. God forbid. Creed.;Neg,Neu,Pos,Compound;0.07;0.607;0.323;0.8105
0;omg vai ser homenagem a marina silva ;omg is going to pay tribute to marina silva;Neg,Neu,Pos,Compound;0.149;0.851;0.0;-0.1027
0;"A Folha pesquisou e descobriu que Marina Silva foi interrompida 3 vezes no Roda Viva, contra 40 da Manuela.

Se você assistiu as 2, da pra perceber que o motivo é óbvio.

Uma ouve a pergunta e depois responde, a outra ouve e não responde ou discute a pergunta com o entrevistador.";Folha investigated and discovered that Marina Silva was interrupted 3 times in Roda Viva, against 40 of Manuela. If you watched the 2, you realize that the reason is obvious. One hears the question and then responds, the other listens and does not answer or discuss the question with the interviewer.;Neg,Neu,Pos,Compound;0.043;0.957;0.0;-0.296
0; CERTAMENTE A PASSAGERIA ERA A MARINA SILVA?;CERTAINLY THE PASSAGERY WAS MARINA SILVA?;Neg,Neu,Pos,Compound;0.0;0.676;0.324;0.34
0; E quanto ele deu para a campanha de seu sócio Sergio Cabral?Sergio Cabral ligado ao PT de Lula   da qual a senhora foi ministra?;"And how much did he give to the campaign of his partner Sergio Cabral? Sergio Cabral linked to Lula&#39;s PT of which you were a minister?";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; ele é de que partido lá? ele tem posicionamento político? tipo esquerda ou direita ou ele é uma marina silva da vida?;What party are you from there? Does he have political positioning? type left or right or is it a whirlpool marina?;Neg,Neu,Pos,Compound;0.0;0.854;0.146;0.5007
0; Desses 9 Bilhões, 36 milhões foram para o Sergio Cabral, cleptocrata do pmdb, agora mdb, apoiado por Lula Condenado da Silva. Se liga dona Marina, o PT é toxico. Por falar em tóxico, a senhora vai mesmo fazer plebiscito para discutir aborto e descriminalização das drogas?;Of these 9 Billions, 36 million went to Sergio Cabral, kleptocrata of pmdb, now mdb, supported by Lula Condenado da Silva. If Dona Marina is called, the PT is toxic. Speaking of toxic, are you even going to plead to discuss abortion and drug decriminalization?;Neg,Neu,Pos,Compound;0.0;0.949;0.051;0.3182
0;Ibope: Segundo turno Bolsonaro e Marina Silva...;Ibope: Second round Bolsonaro and Marina Silva ...;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; Marina Silva não comenta com clareza oq ela acha da quadrilha petista ?;Marina Silva does not comment with clarity what she thinks of the PT party?;Neg,Neu,Pos,Compound;0.133;0.708;0.159;0.1134
0; Pq a senhora não comenta dos trilhões q o PT saqueou do país, e ainda o STF vem soltando os condenados petistas e inocentado com provas de São culpados a amante e o corno;Because you do not comment on the trillions that the PT has plundered the country, and still the STF has been releasing the condemned petistas and cleared with evidence of Are guilty the lover and the horn;Neg,Neu,Pos,Compound;0.13;0.752;0.118;-0.128
0;"Coisas que só tem/aparecem de 4 em 4 anos:

Copa do mundo
Olodum
Marina Silva
Fãs do James R.";Things that only have / appear every 4 years: World Cup Olodum Marina Silva Fans of James R.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1;Free fire é melhor que pubg — FF só vai ser melhor q PUBG quando a Marina Silva ganhar as eleições kk ;Free fire is better than pubg - FF will only be better q PUBG when Marina Silva win the elections kk;Neg,Neu,Pos,Compound;0.072;0.36;0.568;0.948
0; Marina o retorno para mais 4 anos enganado o povo sem fazer nada.;Marina the return for another 4 years deceived the people without doing anything.;Neg,Neu,Pos,Compound;0.209;0.791;0.0;-0.4404
1;Entende as razões ? Faz algum sentido? Ou todo sentido?!  #BrasilEndêmico ;Do you understand the reasons? Does it make any sense? Or all sense ?! # BrasilEndêmico;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
1; #RAIHMIMPI 2018! Siap jadi Bintang Marina 2018 dan ikutan Beauty Camp di Jogja! Untuk yang di Bandung Ikuti Marina #RaihMimpi Roadshow Bandung tgl 6 Juli 2018 di Tjendana Bistro bersama  dan  Saatnya Bersinar dan Raih Mimpi! ;#RAIHMIMPI 2018! Siap jadi Bintang Marina 2018 dan ikutan Beauty Camp di Jogja! Untuk yang di Bandung Ikuti Marina #RaihMimpi Roadshow Bandung tgl 6 Juli 2018 di Tjendana Bistro bersama dan Saatnya Bersinar dan Raih Mimpi!;Neg,Neu,Pos,Compound;0.0;0.879;0.121;0.6884
1;"Cadê a Marina Silva para falar sobre a PL do Veneno?

Até agora não ouvi ela manifestar...";Where is Marina Silva to talk about PL of Poison? So far I have not heard her say ...;Neg,Neu,Pos,Compound;0.171;0.829;0.0;-0.5423
0;  quem tocou fogo foram os marginais q vc era filiada ao partido e foi ministra,o cara só pagou a propina q seus amgs petralhas pediram;who touched fire were the fringe you were affiliated to the party and was minister, the guy only paid the tip that his amgs petralhas asked for;Neg,Neu,Pos,Compound;0.08;0.831;0.09;0.0772
0;Segundo a pesquisa divulgada pela Folha,  a carismática Marina  Silva está “ tecnicamente empatada” com Jair  Bolsonaro. Seus eleitores devem viver em outra galáxia. ;"According to the poll released by Folha, the charismatic Marina Silva is &quot;technically tied&quot; with Jair Bolsonaro. Your constituents must live in another galaxy.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Graças a voce ter ficado em cima do muro, o Brasil ficou nas mãos do PT.;Thanks to you stayed on the wall, Brazil was in the hands of the PT.;Neg,Neu,Pos,Compound;0.0;0.828;0.172;0.4404
0;"O segundo nome de Marina Silva é Osmarina, Osmarina tem 8 letras. Sabe oq mais tem 8 letras? 
Isso mesmo:
G-E-N-G-I-B-R-E.";"The second name of Marina Silva is Osmarina, Osmarina has 8 letters. Do you know what else has 8 letters? That&#39;s right: GINGER.";Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Seria um impulso para muitas empresas de tecnologia que estão nas mãos de jovens.;It would be a boost for many technology companies that are in the hands of young people.;Neg,Neu,Pos,Compound;0.0;0.847;0.153;0.4019
0;Boa noite esse é um perfil que busca alertar a população brasileira do perigo que nós estamos correndo. Sendo monitorados através de telas e induzidos a votar em certas pessoas (leia-se Marina Silva)!!;Good evening, this is a profile that seeks to alert the Brazilian population of the danger that we are running. Being monitored through screens and induced to vote for certain people (read Marina Silva) !!;Neg,Neu,Pos,Compound;0.083;0.728;0.189;0.5242
1;  Sabe,  , eu votei no Lula 2x (1989 e 2002, qdo ele ganhou p/presidente). Tb já votei na  , q só sai d seu sarcófago de 4 em 4 anos. Defende o aborto e a legalização da maconha. Tb já votei no Aécio, e hoje eu o quero PRESO! Meu voto, agora, é Bolsonaro.;"You know, I voted for Lula 2x (1989 and 2002, when he won for president). Tb I have already voted in, that only leaves its sarcophagus every 4 years. It advocates abortion and marijuana legalization. Tb I&#39;ve already voted for Aécio, and today I want it PRISONER! My vote, now, is Bolsonaro.";Neg,Neu,Pos,Compound;0.078;0.825;0.097;-0.1343
1; Mas nao é, pq nenhum politico faz força de fato para que a economia criativa e a solidária façam parte da cadeia de geração de renda do pais! A Sra. tem planos para isso?? Eu ha anos tento implantar um projeto de Politica Publica, mas nao acho subsidio, nenhum. Só Burocracia!😠;"But it is not, because no politician really does force the creative and solidarity economy to be part of the country&#39;s income-generating chain! Do you have plans for this ?? I&#39;ve been trying to implement a Public Policy project for years, but I do not think it&#39;s a subsidy at all. Just paperwork";Neg,Neu,Pos,Compound;0.0;0.893;0.107;0.5641
1;Marina (2018) ;Marina (2018);Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"- Critica  pq fundou o PT, mas apresenta no currículo q foi ministro de #Lula
- Não diz q foi min de #Temer nem nega q vai dar #ForoPrivilegiado para ele se safar em 2019
- Pega leve com  ";- Criticizes pq founded the PT, but presents in the curriculum q was minister of #Lula - It does not say that it was min of #Temer nor deny that q will give #ForoPrivilegiado for him to get out in 2019 - Take light with;Neg,Neu,Pos,Compound;0.04;0.899;0.06;0.2153
0;  Bolsominions nao sabe nem dizer o que o tal Bozonara propõe para educação economia,saude.....;Bolsominions can not even say what this Bozonara proposes for education economy, health .....;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Marina, quero mesmo votar em você em 2018. Você precisa se posicionar claramente contra a bandidagem que assolou e assola o governo federal, congresso e judiciario. Quero ver e ouvir você apoiar abertamente as medidas anti-corrupção propostas pelo MPF. Chega de bandidagem.;Marina, I really want to vote for you in 2018. You need to stand clear against the banditry that has plagued and plagued the federal government, congress and judiciary. I want to see and hear you openly support the anti-corruption measures proposed by the MPF. No more banditry.;Neg,Neu,Pos,Compound;0.043;0.793;0.164;0.647
0;Que você prefere, ter a Donald Trump ou Kanye West como presidente? — Bglh é Marina Silva kkkkkkkk ;Which would you rather have Donald Trump or Kanye West as president? - Bglh is Marina Silva kkkkkkkk;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0; Tem alguma coisa que não faz sentido. Joesley tomou R$9 bi, Odebredch levou R$51 bi e Eike torrou R$9 bi.  Marina não fala nada sobre o chefe quadrilha? Quem mandou e quem executou? Lula não sabia de nada? Presidente, Diretores e Gerentes do BNDES? Ninguém preso por isso?;There is something that does not make sense. Joesley took R $ 9 billion, Odebredch took R $ 51 billion and Eike R $ 9 billion. Does not Marina say anything about the gang boss? Who sent and who executed? Lula did not know anything? President, Directors and Managers of BNDES? No one arrested for this?;Neg,Neu,Pos,Compound;0.12;0.88;0.0;-0.7399
0;"""é mt bom ficar com a MÃE melecada de buceta""
Nunes, Marina
2018 ";"&quot;It&#39;s mt good to stay with the mother of the pussy&quot; Nunes, Marina 2018";Neg,Neu,Pos,Compound;0.0;0.818;0.182;0.4404
0;De 4 em 4 anos dois personagens do folclore brasileiro aparecem, Marina Silva e o diferentão que torce para outro país na copa.;Every four years, two characters from the Brazilian folklore appear, Marina Silva and the different twists in another country in the cup.;Neg,Neu,Pos,Compound;0.0;1.0;0.0;0.0
0;"se a marina silva ganhar essas eleições ela vai virar um símbolo de motivação maior que a anitta 

pq deus que eu me entendo por gente essa mulher se candidata e nao chega nem no segundo turno tadinha";if the marina silva win these elections she will become a symbol of greater motivation than the anitta pq god that I understand by people this woman is a candidate and does not even come in the second round tadinha;Neg,Neu,Pos,Compound;0.0;0.753;0.247;0.8689
0;Pau no Ciro, Alckmin, Bolsonaro e Marina Silva.  Meirelles presidente da porra toda. 🤣🤣🤣🤣🤣🤣🤣🤣  Onde menos esperava, veio a chicotada. ;Pau no Ciro, Alckmin, Bolsonaro and Marina Silva. Meirelles the whole fucking president. 🤣🤣🤣🤣🤣🤣🤣🤣 Where he least expected, he came to the whip.;Neg,Neu,Pos,Compound;0.091;0.909;0.0;-0.296
